X,Y,x,y,SYMBOLS,NO_IDX,CLR_IDX,NM_LEMBAR,NO_LEMBAR,PROJECT,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1,Shape_Leng,Shape_Area
102.7005602,-1.941115081,102.7005602,-1.941115081,Ct,1,CD5C5C,MUARA BUNGO,914,SUMAROX,Formasi Terantam,Terantam Formation,Metamorphic: quartzite,Metamorphism: regional: mid-grade,Metamorphism: regional: mid-grade,CARBONACEOUS,0.846261413,7.43E-03
101.2236482,-0.991731243,101.2236482,-0.991731243,d,2,#FFA07A,PAINAN,814,SUMAROX,"Diabas, Basal","Diabas, Basalt",Intrusive: mafic,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,0.129827792,6.93E-04
101.1212707,-0.732994177,101.1212707,-0.732994177,d,3,#FFA07A,SOLOK,815,SUMAROX,"Diabas, Basal","Diabas, Basalt",Intrusive: mafic,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,0.442200479,1.19E-03
102.9019617,-2.688371563,102.9019617,-2.688371563,Danau,4,#FF8C00,BANGKO,913,,,,,,,,9.18E-02,1.14E-04
101.4820244,-2.148495022,101.4820244,-2.148495022,Danau,4,#FF8C00,SUNGAIPENUH,813,,,,,,,,0.246184928,3.40E-03
100.998208,-0.580213976,100.998208,-0.580213976,g,5,#FFA500,SOLOK,815,SUMAROX,Granit,Granite,Intrusive: felsic: granitoid,Plutonism: sub-volcanic,Plutonism: sub-volcanic,TRIASSIC,3.921863591,5.48E-02
102.4064043,-2.443828862,102.4064043,-2.443828862,Ja,6,#EE82EE,BANGKO,913,SUMAROX,Formasi Asai,Asai Formation,Metamorphic: met-sediment,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,LATE JURASSIC,3.71204875,9.69E-02
101.7405673,-2.081499845,101.7405673,-2.081499845,Ja,6,#EE82EE,SUNGAIPENUH,813,SUMAROX,Formasi Asai,Asai Formation,Metamorphic: met-sediment,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,LATE JURASSIC,2.707532712,5.46E-02
101.7424183,-1.632512064,101.7424183,-1.632512064,Jd,7,#E6E6FA,PAINAN,814,SUMAROX,Diorit,Diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,JURASSIC,0.580720426,2.82E-03
102.1323109,-1.985652706,102.1323109,-1.985652706,Jdo,8,#D8BFD8,MUARA BUNGO,914,SUMAROX,Diorit Horenblenda,Hornblende Diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,JURASSIC,6.33E-02,2.47E-04
102.6812399,-1.850224185,102.6812399,-1.850224185,Jgd,9,#DDA0DD,MUARA BUNGO,914,SUMAROX,Unit Granitoid,Granodiorite Unit,Intrusive: felsic: granitoid,Plutonism: batholith,Plutonism: batholith,JURASSIC,3.14E-02,6.45E-05
101.9795921,-1.69540032,101.9795921,-1.69540032,Jgr,10,#FFF8DC,MUARA BUNGO,914,SUMAROX,Granit,Granite,Intrusive: felsic,Plutonism: batholith,Plutonism: batholith,LATE JURASSIC,4.993072022,8.34E-02
101.3302615,-1.022817054,101.3302615,-1.022817054,Jgr,10,#FFF8DC,PAINAN,814,SUMAROX,Granit,Granite,Intrusive: felsic,Plutonism: batholith,Plutonism: batholith,LATE JURASSIC,9.475879688,0.15366081
104.3666577,-0.60805155,104.3666577,-0.60805155,Jgt,11,#DAA520,DABO,1015,SUMAROX,Granit Tanjungbuku,Tanjungbuku Granite,Intrusive: felsic: granitoid,Plutonism: sub-volcanic,Plutonism: sub-volcanic,JURASSIC,0.447864558,6.76E-03
102.7212762,-1.973342378,102.7212762,-1.973342378,Jpg,12,#B22222,MUARA BUNGO,914,SUMAROX,Unit Pegmatit,Pegmatite Unit,,,,JURASSIC,6.66E-02,2.01E-04
101.6005203,-1.953927365,101.6005203,-1.953927365,Js,13,#DC143C,MUARA BUNGO,914,SUMAROX,Sedimen Jura,Jurassic Sediment,Metamorphic: quartzite,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,JURASSIC,0.237840224,1.29E-03
102.8424397,-1.041686492,102.8424397,-1.041686492,Js,13,#DC143C,PAINAN,814,SUMAROX,Sedimen Jura,Jurassic Sediment,Metamorphic: quartzite,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,JURASSIC,1.058836441,5.30E-03
100.8641605,-1.225530609,100.8641605,-1.225530609,Jsl,14,#8B0000,PAINAN,814,SUMAROX,Limestone Member,Limestone Member,Sediment: chemical: evaporite,Sedimentation: neritic: shallow,Sedimentation: neritic: shallow,JURASSIC,2.67E-02,4.34E-05
102.0140968,-1.877636876,102.0140968,-1.877636876,Jsy,15,#DB7093,MUARA BUNGO,914,SUMAROX,Syenite,Syenite,Extrusive: mafic: lava,Volcanism: subaerial,Volcanism: subaerial,JURASSIC,5.11E-02,9.92E-05
101.9451396,-1.927601606,101.9451396,-1.927601606,Jt,16,#FFD700,PAINAN,814,SUMAROX,Formasi Tabir,Tabir Formation,Sediment: clastic: conglomerate,Sedimentation: littoral: transition,Sedimentation: littoral: transition,JURASSIC,0.378125003,4.92E-03
101.0015983,-1.146878319,101.0015983,-1.146878319,Kd,17,#FFDAB9,PAINAN,814,SUMAROX,Diorit,Diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,CRETACEOUS,0.631525376,4.18E-03
100.8429495,-0.982420139,100.8429495,-0.982420139,Kgr1,18,#4682B4,PAINAN,814,sum-0814,Granit Kapur,Cretaceous Granite,Intrusive: felsic: granitoid,Plutonism: batholith,Plutonism: batholith,LATE CRETACEOUS,3.28874325,3.07E-02
102.5405856,-2.696984989,102.5405856,-2.696984989,Kgra,19,#B0C4DE,BANGKO,913,SUMAROX,Granit Arai,Arai Granite,Intrusive: felsic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,LATE CRETACEOUS,1.120710141,1.40E-02
102.3348504,-2.626256278,102.3348504,-2.626256278,KJp,20,#B0E0E6,BANGKO,913,SUMAROX,Formasi Peneta,Penete Formation,Sediment: clastic: fine: shale,Sedimentation: neritic: shallow,Sedimentation: neritic: shallow,JURASSIC-CRETACEOUS,3.07403645,4.07E-02
101.948985,-2.070889495,101.948985,-2.070889495,KJp,20,#B0E0E6,SUNGAIPENUH,813,SUMAROX,Formasi Peneta,Penete Formation,Sediment: clastic: fine: shale,Sedimentation: neritic: shallow,Sedimentation: neritic: shallow,JURASSIC-CRETACEOUS,1.328178038,8.84E-03
102.4759687,-2.674254941,102.4759687,-2.674254941,KJpm,21,#ADD8E6,BANGKO,913,SUMAROX,Anggota Mersip,Peneta Formation,Metamorphic: meta-sediment,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,JURASSIC-CRETACEOUS,0.486614617,1.95E-03
101.9138252,-2.017675894,101.9138252,-2.017675894,KJpm,21,#ADD8E6,SUNGAIPENUH,813,SUMAROX,Anggota Mersip,Peneta Formation,Metamorphic: meta-sediment,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,JURASSIC-CRETACEOUS,0.212867435,5.38E-04
102.4403802,-2.718776466,102.4403802,-2.718776466,KJr,22,#008080,BANGKO,913,SUMAROX,Formasi Rawas,Rawas Formation,Sediment: clastic: flysch,Neritic,Neritic,JURASSIC-CRETACEOUS,0.977696329,5.79E-03
101.3093335,-1.897424416,101.3093335,-1.897424416,Ks,23,#008B8B,PAINAN,814,SUMAROX,Formasi Siulak,Siular Formation,Sediment: clastic: fine: shale,Transition,Transition,CRETACEOUS,6.73E-02,1.54E-04
100.9521308,-1.32128641,100.9521308,-1.32128641,Kub,24,#8FBC8B,PAINAN,814,SUMAROX,Ultrabasa,Ultrabasic,Tectonite: ophiolite,Sedimentation: abyssal,Sedimentation: abyssal,CRETACEOUS,0.115578166,2.00E-04
103.6350581,-1.658882428,103.6350581,-1.658882428,Pasir,25,#66CDAA,JAMBI,1014,,,,,,,HOLOCENE,2.112208072,9.81E-03
101.1243036,-1.193667858,101.1243036,-1.193667858,Pb,26,#808000,PAINAN,814,SUMAROX,Formasi Barisan,Barisan Formation,Metamorphic: phyllite,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMIAN,10.0488988,0.180852338
101.0092799,-1.066243993,101.0092799,-1.066243993,Pbl,27,#6B8E23,PAINAN,814,SUMAROX,Anggota Batugamping,Barisan Formation,Sediment: Reef: limestone,Littoral,Littoral,PERMIAN,14.01655278,4.69E-02
102.8375763,-1.17865179,102.8375763,-1.17865179,PCg,28,#ADFF2F,MUARA BUNGO,914,SUMAROX,Formasi Gangsal,Gangsal Formation,Metamorphic: slate,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,0.509478617,5.09E-03
102.4577772,-1.065291565,102.4577772,-1.065291565,PCg,28,#ADFF2F,RENGAT,915,SUMAROX,Formasi Gangsal,Gangsal Formation,Metamorphic: slate,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,2.32165609,4.61E-02
101.1515965,-0.737395007,101.1515965,-0.737395007,PCkl,29,#98FB98,SOLOK,815,SUMAROX,Anggota Batugamping,Kuantan Formation,Sediment: Reef: limestone,Littoral: reef,Littoral: reef,PERMO-CARBONACEOUS,6.12158889,3.78E-02
101.5311059,-0.895290141,101.5311059,-0.895290141,PCkq,30,#90EE90,SOLOK,815,SUMAROX,Anggota Bawah,Kuantan Formation,Metamorphic: met-sediment,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,1.134015235,7.64E-03
101.097935,-0.729260187,101.097935,-0.729260187,PCks1,31,#00FA9A,SOLOK,815,SUMAROX,Anggota Filit dan Serpih,Kuantan Formation,Metamorphic: meta-sediment,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,6.807735254,4.01E-02
102.7738283,-1.062603513,102.7738283,-1.062603513,PCm,32,#00FF7F,RENGAT,915,SUMAROX,Formasi Mentulu,Mentulu Formation,Sediment: clastic: fine: claystone,Sedimentation: neritic,Sedimentation: neritic,PERMO-CARBONACEOUS,3.825002972,5.50E-02
102.7946704,-1.235604108,102.7946704,-1.235604108,PCmc,33,#3CB371,MUARA BUNGO,814,SUMAROX,Anggota Condong,Mentulu Formation,Extrusive: felsic: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,PERMO-CARBONACEOUS,7.68E-02,2.71E-04
102.7693701,-1.011839696,102.7693701,-1.011839696,PCmc,33,#3CB371,RENGAT,915,SUMAROX,Anggota Condong,Mentulu Formation,Extrusive: felsic: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,PERMO-CARBONACEOUS,0.28335084,1.83E-03
104.4855922,-0.592382399,104.4855922,-0.592382399,PCmp,34,#2E8B57,DABO,1015,SUMAROX,Kuarsit Bukit Duabelas,Duabelas Bukit Quartzite,Metamorphic: phyllite,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,4.350520684,4.07E-02
101.8577953,-1.942098361,101.8577953,-1.942098361,Pcn,35,#228B22,PAINAN,814,SUMAROX,Ngaol Formation,Ngaol Formation,Metamorphic: gneiss,Metamorphism: regional: mid-grade,Metamorphism: regional: mid-grade,PERMO-CARBONACEOUS,0.837511947,3.73E-03
101.8838278,-1.972667232,101.8838278,-1.972667232,Pcnl,36,#9ACD32,PAINAN,814,SUMAROX,Meta-Limestone Member,Ngaol Formation,Metamorphic: meta-sediment,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,0.158062647,2.86E-04
102.4854494,-0.987767096,102.4854494,-0.987767096,PCp,37,#6B8E23,RENGAT,915,SUMAROX,Formasi Pengabuhan,Pengabuhan Formation,Sediment: clastic: sandstone,Sedimentation: neritic,Sedimentation: littoral,PERMO-CARBONACEOUS,2.890271512,6.23E-02
102.3837785,-2.297490227,102.3837785,-2.297490227,Pm,38,#808000,BANGKO,913,SUMAROX,Formasi Mengkarang,Mengkarang Formation,Sediment: clastic: sandstone,Sedimentation: neritic: shallow,Sedimentation: neritic: shallow,PERMIAN,0.811310586,3.61E-03
102.1020626,-1.941084714,102.1020626,-1.941084714,Pm,38,#808000,MUARA BUNGO,914,SUMAROX,Formasi Mengkarang,Mengkarang Formation,Sediment: clastic: sandstone,Sedimentation: neritic: shallow,Sedimentation: neritic: shallow,PERMIAN,0.608096953,7.92E-03
102.0097959,-1.884073154,102.0097959,-1.884073154,Pp,39,#556B2F,BANGKO,913,SUMAROX,Formasi Palepat,Palepat Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,EARLY PERMIAN,4.549844225,6.72E-02
102.1032293,-1.890702097,102.1032293,-1.890702097,Pp,39,#556B2F,MUARA BUNGO,914,SUMAROX,Formasi Palepat,Palepat Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,EARLY PERMIAN,0.619540347,2.36E-03
102.8069965,-1.027727755,102.8069965,-1.027727755,Pp,39,#556B2F,PAINAN,814,SUMAROX,Formasi Palepat,Palepat Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,EARLY PERMIAN,6.04E-02,8.32E-05
101.2629722,-1.114235252,101.2629722,-1.114235252,Pp,39,#556B2F,PAINAN,914,SUMAROX,Formasi Palepat,Palepat Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,EARLY PERMIAN,1.195871471,8.27E-03
100.7975416,-0.750006685,100.7975416,-0.750006685,Ps2,40,#66CDAA,SOLOK,815,SUMAROX,Formasi Silungkang,Silungkang Formatrion,Extrusive: intermediate: polymict,Volcanism: submarine,Volcanism: submarine,PERMO-CARBONACEOUS,1.1624561,6.01E-03
100.7812281,-0.737356969,100.7812281,-0.737356969,Psl,41,#8FBC8B,SOLOK,815,SUMAROX,Anggota Batugamping Formasi Silungkang,Silungkang Formation,Sediment: clastic: limestone,Littoral,Littoral,PERMO-CARBONACEOUS,0.485565223,1.25E-03
102.0848559,-1.95832901,102.0848559,-1.95832901,pTab,42,#20B2AA,MUARA BUNGO,914,SUMAROX,Andesit dan Basalt,,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,CRETACEOUS,0.201398578,4.65E-04
102.025727,-1.920807114,102.025727,-1.920807114,pTdb,43,#008B8B,MUARA BUNGO,914,SUMAROX,Diabas,Diabase,Intrusive: mafic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,CRETACEOUS,0.147446601,4.20E-04
101.5245173,-0.770238534,101.5245173,-0.770238534,Puku,44,#008080,PAKANBARU,816,SUMAROX,Formasi Kuantan,Kuantan Formation,Metamorphic: phyllite,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,15.02156404,0.24236995
